company,year,Price,fuel_type,Driven,Car_Name,Model_Info
Hyundai,2012,329500,Diesel,36200,Hyundai i20,Asta 1.4 CRDI 6 Speed
Ford,2014,195000,Diesel,50000,Ford Figo,Diesel EXI
Maruti,2015,251111,Petrol,55000,Maruti Suzuki,Eeco 5 STR WITH AC HTR
Maruti,2014,569999,Petrol,45000,Maruti Suzuki,Ertiga ZXi
Maruti,2007,69999,Petrol,51000,Maruti Suzuki,Esteem LXi BS III
Maruti,2014,299999,Petrol,19000,Maruti Suzuki,Ritz VXI
Maruti,2009,220000,Petrol,46000,Maruti Suzuki,Dzire
Maruti,2013,399999,Diesel,33000,Maruti Suzuki,Ritz LDi
Maruti,2013,372000,Petrol,13349,Maruti Suzuki,Swift VXi 1.2 BS IV
Maruti,2015,450000,Diesel,104000,Maruti Suzuki,Dzire VDI
Toyota,2014,270000,Petrol,55000,Toyota Etios,Liva G
Hyundai,2011,350000,Diesel,33333,Hyundai i20,Sportz 1.4 CRDI
Chevrolet,2012,158400,Petrol,33600,Chevrolet Spark,LS 1.0
Maruti,2017,350000,Petrol,5600,Maruti Suzuki,Alto K10 VXi AMT
Nissan,2011,179000,Petrol,41000,Nissan Micra,XV
Maruti,2007,125000,Petrol,70000,Maruti Suzuki,Swift
Maruti,2018,200000,Petrol,7500,Maruti Suzuki,Alto 800
Honda,2013,299000,Diesel,45000,Honda Amaze,1.5 S i DTEC
Maruti,2015,220000,Petrol,38000,Maruti Suzuki,Alto 800 Vxi
Chevrolet,2015,150000,Petrol,30000,Chevrolet Beat,LS Diesel
Honda,2010,285000,Petrol,35000,Honda City,1.5 V MT
Ford,2016,830000,Diesel,24330,Ford EcoSport,Trend 1.5L TDCi
Hyundai,2009,210000,Petrol,65480,Hyundai i20,Asta 1.2
Maruti,2013,340000,Petrol,41000,Maruti Suzuki,Swift Dzire VXi 1.2 BS IV
Tata,2006,90000,Petrol,20000,Tata Indica,V2 eLS
Hindustan,2000,70000,Diesel,200000,Hindustan Motors,Ambassador
Toyota,2010,289999,Petrol,70000,Toyota Corolla,Altis 1.8 GL
Toyota,2012,349999,Petrol,59000,Toyota Corolla,Altis 1.8 J
Toyota,2012,849999,Diesel,99000,Toyota Innova,2.5 GX BS IV 7 STR
Volkswagen,2014,749999,Diesel,46000,Volkswagen Jetta,Highline TDI AT
Volkswagen,2015,399999,Petrol,2800,Volkswagen Polo,Comfortline 1.2L P
Volkswagen,2014,274999,Petrol,32000,Volkswagen Polo,Highline1.2L P
Mahindra,2015,984999,Diesel,22000,Mahindra Scorpio,S10
Renault,2014,449999,Diesel,50000,Renault Duster,110PS Diesel RxZ
Honda,2015,344999,Petrol,22000,Honda Amaze,1.2 S i VTEC
Nissan,2012,224999,Petrol,45000,Nissan Sunny,XL
Hyundai,2018,599999,Petrol,21000,Hyundai Elite,i20
Renault,2016,244999,Petrol,11000,Renault Kwid,RXT
Renault,2013,399999,Diesel,41000,Renault Duster,110PS Diesel RxZ
Ford,2017,489999,Petrol,39000,Ford EcoSport,Titanium 1.5L TDCi
Renault,2014,474999,Diesel,50000,Renault Duster,110PS Diesel RxZ
Mahindra,2011,499999,Diesel,66000,Mahindra Scorpio,VLX Airbag
Maruti,2018,310000,Petrol,3000,Maruti Suzuki,Alto 800 Lxi
Chevrolet,2010,85000,Petrol,45000,Chevrolet Spark,LT 1.0
Datsun,2016,245000,Petrol,7000,Datsun Redi,GO T O
Maruti,2010,189500,Diesel,38500,Maruti Suzuki,Swift RS VDI
Fiat,2012,169500,Diesel,37200,Fiat Punto,Emotion 1.2
Maruti,2010,159500,Diesel,43200,Maruti Suzuki,Swift RS VDI
Toyota,2013,275000,Petrol,24800,Toyota Etios,GD
Hyundai,2014,370000,Diesel,60000,Hyundai i20,Sportz 1.4 CRDI
Hyundai,2010,168000,Petrol,45872,Hyundai i10,Sportz 1.2
Chevrolet,2011,150000,Diesel,40000,Chevrolet Beat,LT Opt Diesel
Chevrolet,2011,145000,Diesel,45000,Chevrolet Beat,LS Diesel
Chevrolet,2012,98500,Diesel,38000,Chevrolet Beat,LT Diesel
Mahindra,2014,699000,Diesel,50000,Mahindra Scorpio,VLX 2WD BS IV
Tata,2011,85000,Diesel,11400,Tata Indigo,CS
Toyota,2015,575000,Petrol,42000,Toyota Corolla,Altis 1.8 J
Honda,2014,549000,Petrol,39000,Honda City,1.5 V MT
Maruti,2011,209000,Diesel,47000,Maruti Suzuki,Swift VDi
Hyundai,2013,185000,Petrol,27000,Hyundai Eon,Era Plus
Mahindra,2015,900000,Diesel,97200,Mahindra Scorpio,S10
Mahindra,2014,699999,Diesel,52000,Mahindra XUV500,W6
Honda,2012,224999,Petrol,30000,Honda Brio,V MT
Ford,2011,274999,Diesel,55000,Ford Fiesta,SXi 1.6 ABS
Honda,2013,284999,Diesel,46000,Honda Amaze,1.2 S i VTEC
Honda,2015,599999,Diesel,30000,Honda City,1.5 S MT
Maruti,2012,199999,Petrol,44000,Maruti Suzuki,Wagon R
Honda,2014,544999,Diesel,45000,Honda City,1.5 S MT
Hyundai,2009,199000,Petrol,31000,Hyundai i20,Magna
Tata,2016,320000,Diesel,175430,Tata Indigo,eCS LX TDI BS III
Hyundai,2015,540000,Diesel,38000,Hyundai Fluidic,Verna 1.6 CRDi SX
Mahindra,2013,340000,Diesel,37000,Mahindra Quanto,C8
Fiat,2008,75000,Petrol,65000,Fiat Petra,ELX 1.2 PS
Skoda,2011,159500,Diesel,38200,Skoda Fabia,1.2L Diesel Ambiente
Mini,2013,1891111,Petrol,13000,Mini Cooper,S 1.6
Hyundai,2005,49000,Petrol,7500,Hyundai Santro,Xing XS
Maruti,2016,700000,Petrol,3350,Maruti Suzuki,Ciaz VXi Plus
Maruti,2000,55000,Petrol,60000,Maruti Suzuki,Zen VX
Honda,2015,448999,Petrol,54000,Honda City,1.5 S MT
Hyundai,2017,895000,Petrol,32000,Hyundai Creta,1.6 SX Plus Petrol
Mahindra,2007,355000,Diesel,75000,Mahindra Scorpio,SLX
Mahindra,2012,565000,Diesel,62000,Mahindra Scorpio,SLE BS IV
Toyota,2006,365000,Diesel,73000,Toyota Innova,2.5 G BS III 8 STR
Maruti,2011,145000,Petrol,41000,Maruti Suzuki,Alto K10 VXi AMT
Maruti,2011,210000,Petrol,35000,Maruti Suzuki,Wagon R LXI BS IV
Tata,2013,40000,Petrol,2200,Tata Nano,Cx BSIV
Maruti,2013,125000,Petrol,39000,Maruti Suzuki,Alto Std BS IV
Maruti,2009,135000,Petrol,45000,Maruti Suzuki,Wagon R LXi BS III
Maruti,2006,135000,Petrol,45000,Maruti Suzuki,Swift VXI BSIII
Tata,2012,285000,Diesel,65000,Tata Sumo,Victa EX 10 by 7 Str BSIII
Maruti,2010,145000,Petrol,54870,Maruti Suzuki,Wagon R LXi BS III
Maruti,2010,135000,Petrol,34580,Maruti Suzuki,Alto LXi BS III
Volkswagen,2009,450000,Diesel,97000,Volkswagen Passat,Diesel Comfortline AT
Renault,2015,375000,Diesel,25000,Renault Scala,RxL Diesel Travelogue
Mahindra,2013,375000,Diesel,20000,Mahindra Quanto,C8
Hyundai,2014,365000,Petrol,20000,Hyundai Grand,i10 Sportz O 1.2 Kappa VTVT
Hyundai,2015,500000,Petrol,18000,Hyundai i20,Active 1.2 SX
Mahindra,2012,400000,Diesel,35000,Mahindra Xylo,E4
Mahindra,2019,390000,Diesel,60,Mahindra Jeep,MM 550 XDB
Renault,2012,501000,Diesel,35000,Renault Duster,110PS Diesel RxZ
Mahindra,2013,330000,Diesel,80200,Mahindra Bolero,SLE BS IV
Force,2015,580000,Diesel,3200,Force Motors,Force One LX ABS 7 STR
Maruti,2012,265000,Diesel,46000,Maruti Suzuki,SX4
Maruti,2015,219000,Petrol,5000,Maruti Suzuki,Alto 800
Mahindra,2018,385000,Diesel,588,Mahindra Jeep,CL550 MDI
Toyota,2011,275000,Diesel,36000,Toyota Etios,GD
Volkswagen,2015,330000,Diesel,38000,Volkswagen Polo,Highline1.2L P
Honda,2008,110000,Petrol,45000,Honda City,ZX VTEC
Maruti,2006,80000,Petrol,71200,Maruti Suzuki,Wagon R LX BS III
Honda,2016,519000,Diesel,52000,Honda City,VX O MT Diesel
Mahindra,2016,730000,Diesel,29000,Mahindra Thar,CRDe 4x4 AC
Mitsubishi,2015,1475000,Diesel,47000,Mitsubishi Pajero,Sport Limited Edition
Audi,2009,699000,Petrol,47000,Audi A4,1.8 TFSI Multitronic Premium Plus
Mercedes,2015,2000000,Diesel,20000,Mercedes Benz,GLA Class 200 CDI Sport
Land,2015,2100000,Diesel,30000,Land Rover,Freelander 2 SE
Renault,2017,340000,Petrol,5000,Renault Kwid,RXT
Tata,2014,390000,Diesel,35000,Tata Aria,Pleasure 4X2
Mercedes,2014,1400000,Petrol,31000,Mercedes Benz,B Class B180 Sports
Datsun,2016,245000,Petrol,7000,Datsun GO,T O
Tata,2016,320000,Diesel,175430,Tata Indigo,eCS LX TDI BS III
Tata,2016,320000,Diesel,175400,Tata Indigo,eCS LX TDI BS III
Honda,2016,450000,Petrol,41000,Honda Jazz,VX MT
Honda,2014,311000,Petrol,33000,Honda Amaze,1.2 S i VTEC
Honda,2013,284999,Diesel,46000,Honda Amaze,1.2 S i VTEC
Honda,2012,399999,Petrol,45000,Honda City,1.5 S MT
Honda,2015,599999,Diesel,39000,Honda City,1.5 S MT
Honda,2015,344999,Petrol,22000,Honda Amaze,1.2 S i VTEC
Audi,2009,699000,Petrol,47000,Audi A4,1.8 TFSI Multitronic Premium Plus
Force,2015,580000,Diesel,3200,Force Motors,Force One LX ABS 7 STR
Mahindra,2015,855000,Diesel,30000,Mahindra Scorpio,S4
Hyundai,2015,535000,Diesel,37000,Hyundai i20,Active 1.4L SX O
Mini,2013,1891111,Petrol,13000,Mini Cooper,S
Maruti,2017,699000,Petrol,14000,Maruti Suzuki,Ciaz ZXI Plus
Chevrolet,2013,375000,Diesel,55000,Chevrolet Tavera,Neo
Honda,2013,284999,Diesel,46000,Honda Amaze,1.2 S i VTEC
Hyundai,2012,178000,Petrol,30000,Hyundai Eon,Sportz
Tata,2013,300000,Diesel,50000,Tata Sumo,Gold Select Variant
Maruti,2003,90000,Petrol,45000,Maruti Suzuki,Wagon R 1.0
Maruti,2006,95000,Petrol,45000,Maruti Suzuki,Esteem VXi BS III
Maruti,2015,255000,Petrol,9300,Maruti Suzuki,Eeco 5 STR WITH AC HTR
Chevrolet,2013,245000,Diesel,55000,Chevrolet Enjoy,1.4 LS 8 STR
Hyundai,2012,329500,Diesel,36200,Hyundai i20,Asta 1.4 CRDI 6 Speed
Ford,2014,195000,Diesel,50000,Ford Figo,Diesel EXI
Maruti,2015,251111,Petrol,55000,Maruti Suzuki,Eeco 5 STR WITH AC HTR
Maruti,2014,569999,Petrol,45000,Maruti Suzuki,Ertiga ZXi
Maruti,2007,69999,Petrol,51000,Maruti Suzuki,Esteem LXi BS III
Maruti,2014,299999,Petrol,19000,Maruti Suzuki,Ritz VXI
Maruti,2009,220000,Petrol,46000,Maruti Suzuki,Dzire
Maruti,2013,399999,Diesel,33000,Maruti Suzuki,Ritz LDi
Maruti,2010,249999,Petrol,36000,Maruti Suzuki,SX4 ZXI MT
Maruti,2015,289999,Petrol,22000,Maruti Suzuki,Wagon R 1.0 VXi
Mini,2013,1891111,Petrol,13500,Mini Cooper,S 1.6
Nissan,2015,499999,Diesel,60000,Nissan Terrano,XL D Plus
Renault,2013,489999,Diesel,27000,Renault Duster,85 PS RxE Diesel
Renault,2014,489999,Diesel,59000,Renault Duster,85 PS RxE Diesel
Renault,2015,549999,Diesel,19000,Renault Duster,85 PS RxL Diesel
Maruti,2013,380000,Petrol,30000,Maruti Suzuki,Dzire ZXI
Renault,2018,325000,Petrol,15000,Renault Kwid,RXT Opt
Maruti,2003,57000,Petrol,56758,Maruti Suzuki,Maruti 800 Std
Renault,2018,349999,Petrol,10000,Renault Kwid,1.0 RXT AMT
Renault,2018,689999,Diesel,20000,Renault Lodgy,85 PS RXL
Renault,2014,349999,Diesel,49000,Renault Scala,RxL Diesel
Hyundai,2014,410000,Petrol,41000,Hyundai Grand,i10 Asta 1.2 Kappa VTVT O
Maruti,2011,225000,Petrol,45000,Maruti Suzuki,Swift Dzire VXi 1.2 BS IV
Chevrolet,2010,120000,Petrol,43000,Chevrolet Beat,LS Petrol
Tata,2016,320000,Diesel,175430,Tata Indigo,eCS LX TDI BS III
Hyundai,2000,59000,Petrol,56450,Hyundai Santro,Xing XO eRLX Euro III
Hyundai,2015,540000,Diesel,38000,Hyundai Fluidic,Verna 1.6 CRDi SX
Chevrolet,2010,80000,Petrol,56000,Chevrolet Beat,LS Petrol
Mahindra,2013,340000,Diesel,37000,Mahindra Quanto,C8
Fiat,2008,75000,Petrol,65000,Fiat Petra,ELX 1.2 PS
Chevrolet,2015,220000,Petrol,32700,Chevrolet Beat,LS Petrol
Skoda,2011,159500,Diesel,38200,Skoda Fabia,1.2L Diesel Ambiente
Ford,2016,599000,Diesel,30000,Ford EcoSport,Titanium 1.5L TDCi
Hyundai,2006,80000,Petrol,56000,Hyundai Accent,GLX
Mahindra,2016,675000,Diesel,9000,Mahindra TUV300,T4 Plus
Mini,2013,1891111,Petrol,13000,Mini Cooper,S 1.6
Mini,2013,1891111,Petrol,13000,Mini Cooper,S 1.6
Tata,2008,150000,Petrol,11000,Tata Indica,V2 Xeta e GLE
Mini,2013,1891111,Petrol,13000,Mini Cooper,S
Tata,2009,72500,Diesel,46000,Tata Indigo,CS LS DiCOR
Maruti,2019,610000,Petrol,73,Maruti Suzuki,Swift VXi 1.2 ABS BS IV
Mahindra,2004,230000,Diesel,160000,Mahindra Scorpio,VLX Special Edition BS III
Mahindra,2015,855000,Diesel,30000,Mahindra Scorpio,S4
Chevrolet,2013,375000,Diesel,55000,Chevrolet Tavera,Neo
Ford,2014,520000,Diesel,57000,Ford EcoSport,Titanium 1.5 TDCi
Maruti,2015,524999,Diesel,50000,Maruti Suzuki,Ertiga
Honda,2014,299999,Petrol,37000,Honda Amaze,1.2 S i VTEC
Maruti,2012,299999,Petrol,40000,Maruti Suzuki,Dzire
Honda,2011,284999,Petrol,55000,Honda City,1.5 S MT
Mahindra,2007,220000,Diesel,170000,Mahindra Scorpio,2.6 CRDe
Maruti,2014,424999,Diesel,55000,Maruti Suzuki,Dzire
Honda,2015,644999,Petrol,39000,Honda City,1.5 S MT
Honda,2014,399999,Petrol,44000,Honda Mobilio,S i DTEC
Toyota,2009,199999,Petrol,65000,Toyota Corolla,Altis
Honda,2014,584999,Petrol,39000,Honda City,1.5 S MT
Renault,2015,449999,Diesel,49000,Renault Duster,110PS Diesel RxZ
Maruti,2018,799999,Diesel,9000,Maruti Suzuki,Ertiga
Maruti,2015,444999,Diesel,45000,Maruti Suzuki,Dzire
Mahindra,2014,649999,Diesel,47000,Mahindra XUV500,W6
Hyundai,2012,444999,Diesel,40000,Hyundai Verna,Fluidic
Maruti,2016,689999,Diesel,29000,Maruti Suzuki,Vitara Brezza
Maruti,2016,344999,Petrol,15000,Maruti Suzuki,Wagon R
Mahindra,2015,944999,Diesel,45000,Mahindra Scorpio,S10
Honda,2014,274999,Petrol,35000,Honda Amaze,1.2 S i VTEC
Mahindra,2013,689999,Diesel,80000,Mahindra XUV500,W6
Mahindra,2013,574999,Diesel,68000,Mahindra Scorpio,S10
Volkswagen,2010,199999,Diesel,60000,Volkswagen Polo,Highline1.2L P
Hyundai,2016,549999,Petrol,9000,Hyundai Elite,i20
Tata,2012,130000,Diesel,72000,Tata Manza,Aura Quadrajet
Chevrolet,2013,210000,Petrol,60000,Chevrolet Sail,UVA Petrol LT ABS
Renault,2012,501000,Diesel,38000,Renault Duster,110 PS RxZ Diesel Plus
Hyundai,2013,401000,Diesel,45000,Hyundai Verna,Fluidic 1.6 VTVT SX
Audi,2012,1350000,Diesel,40000,Audi A4,2.0 TDI 177bhp Premium
Hyundai,2013,600000,Petrol,20000,Hyundai Elantra,SX
Mahindra,2013,610000,Diesel,35000,Mahindra Scorpio,VLX 4WD Airbag
Mahindra,2016,400000,Diesel,20000,Mahindra KUV100,K8 D 6 STR
Renault,2015,375000,Diesel,25000,Renault Scala,RxL Diesel Travelogue
Mahindra,2013,375000,Diesel,20000,Mahindra Quanto,C8
Hyundai,2014,365000,Petrol,20000,Hyundai Grand,i10 Sportz O 1.2 Kappa VTVT
Hyundai,2015,500000,Petrol,18000,Hyundai i20,Active 1.2 SX
Mahindra,2012,400000,Diesel,35000,Mahindra Xylo,E4
Hyundai,2017,524999,Petrol,6821,Hyundai Grand,i10
Hyundai,2014,449999,Petrol,23000,Hyundai i20,Magna
Hyundai,2014,174999,Petrol,14000,Hyundai Eon,Era Plus
Hyundai,2012,244999,Petrol,38000,Hyundai i10,Magna 1.2
Hyundai,2015,574999,Diesel,35000,Hyundai i20,Active
Datsun,2017,244999,Petrol,22000,Datsun Redi,GO
Toyota,2011,239999,Petrol,41000,Toyota Etios,Liva
Hyundai,2010,99999,Petrol,45000,Hyundai Accent,Executive Edition
Hyundai,2014,489999,Diesel,44000,Hyundai Verna,Fluidic New
Maruti,2013,324999,Diesel,45000,Maruti Suzuki,Swift
Toyota,2011,1074999,Diesel,52000,Toyota Fortuner,3.0 4x2 MT
Hyundai,2012,230000,Petrol,34000,Hyundai i10,Sportz
Mahindra,2018,699000,Diesel,1800,Mahindra Bolero,Power Plus SLE
Mahindra,2015,1000000,Diesel,15000,Mahindra XUV500,W6
Honda,2010,240000,Petrol,400000,Honda City,1.5 V MT Exclusive
Chevrolet,2009,110000,Petrol,44000,Chevrolet Spark,LT 1.0 Airbag
Mahindra,2019,390000,Diesel,60,Mahindra Jeep,MM 550 XDB
Renault,2012,501000,Diesel,35000,Renault Duster,110PS Diesel RxZ
Mahindra,2016,1130000,Diesel,72000,Mahindra XUV500,W6
Tata,2014,250000,Diesel,40000,Tata Indigo,eCS VX CR4 BS IV
Mahindra,2013,330000,Diesel,80200,Mahindra Bolero,SLE BS IV
Force,2015,580000,Diesel,3200,Force Motors,Force One LX ABS 7 STR
Skoda,2013,340000,Diesel,48000,Skoda Rapid,Elegance 1.6 TDI CR MT
Tata,2011,120000,Diesel,90000,Tata Vista,Quadrajet VX
Maruti,2015,265000,Petrol,12000,Maruti Suzuki,Alto K10 VXi AT
Maruti,2012,265000,Diesel,46000,Maruti Suzuki,SX4
Maruti,2003,85000,Petrol,69900,Maruti Suzuki,Zen LXi BS III
Hyundai,2011,175000,Petrol,45000,Hyundai i10,Magna 1.2
Maruti,2015,219000,Petrol,5000,Maruti Suzuki,Alto 800
Maruti,2016,350000,Diesel,166000,Maruti Suzuki,Swift Dzire Tour LDi
Honda,2008,149000,Petrol,42000,Honda City,ZX EXi
Mahindra,2018,385000,Diesel,588,Mahindra Jeep,CL550 MDI
Mahindra,2006,425000,Diesel,122,Mahindra Jeep,MM 550 XDB
Honda,2010,225000,Petrol,70000,Honda City,1.5 S MT
Hyundai,2014,375000,Petrol,36000,Hyundai Verna,1.4 VTVT
Maruti,1995,30000,Petrol,55000,Maruti Suzuki,Maruti 800 Std – Befo
Toyota,2011,275000,Diesel,36000,Toyota Etios,GD
Volkswagen,2015,330000,Diesel,38000,Volkswagen Polo,Highline1.2L P
Maruti,2014,335000,Diesel,55000,Maruti Suzuki,Swift
Hyundai,2015,450000,Diesel,20000,Hyundai Elite,i20 Asta 1.4 CRDI
Maruti,2012,225000,Petrol,40000,Maruti Suzuki,Swift Dzire VXi 1.2 BS IV
Maruti,2004,80000,Petrol,50000,Maruti Suzuki,Versa DX2 8 SEATER BSIII
Tata,2016,130000,Diesel,104000,Tata Indigo,LX TDI BS III
